id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,better goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish production,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,'ll goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,know goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,'re goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,"do 76,500 grows",CMP,17.5
156493,do goldfish grow,'re goldfish grow,CMP,17.5
156493,do goldfish grow,they goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,extent goldfish grow,CMP,17.5
156493,do goldfish grow,do lonrho grow,CMP,17.5
156493,do goldfish grow,need goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,ca goldfish grew,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,pretend goldfish grow,CMP,17.5
156493,do goldfish grow,simply goldfish grow,CMP,17.5
156493,do goldfish grow,give goldfish grow,CMP,17.5
156493,do goldfish grow,really goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
156493,do goldfish grow,explain goldfish grow,CMP,17.5
156493,do goldfish grow,do goldfish grow,CMP,17.5
1110199,what is wifi vs bluetooth,whether is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,because is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,how good wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what current wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what is gprs vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,... is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,rough is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,going is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,questions is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,say taken wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,thought is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,learned is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what be wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,never unlike wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,surprised is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,called is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,n't is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,what based wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,trying is wifi vs bluetooth,CMP,17.5
1110199,what is wifi vs bluetooth,preferred is wifi vs bluetooth,CMP,17.5
