id,text,obfuscatedText,mechanism,level
301,International Organized Crime,international control transgression,AEA,5
301,International Organized Crime,international control activity,AEA,5
301,International Organized Crime,international control wrongdoing,AEA,5
301,International Organized Crime,international control crime,AEA,5
301,International Organized Crime,international manage transgression,AEA,5
301,International Organized Crime,international manage activity,AEA,5
301,International Organized Crime,international manage wrongdoing,AEA,5
301,International Organized Crime,international manage crime,AEA,5
301,International Organized Crime,international organize transgression,AEA,5
301,International Organized Crime,international organize activity,AEA,5
301,International Organized Crime,international organize wrongdoing,AEA,5
301,International Organized Crime,international organize crime,AEA,5
302,Poliomyelitis and Post-Polio,disease and p,AEA,5
302,Poliomyelitis and Post-Polio,communicable_disease and p,AEA,5
302,Poliomyelitis and Post-Polio,poliomyelitis and p,AEA,5
302,Poliomyelitis and Post-Polio,infectious_disease and p,AEA,5
303,Hubble Telescope Achievements,hubble scientific_instrument event,AEA,5
303,Hubble Telescope Achievements,hubble scientific_instrument act,AEA,5
303,Hubble Telescope Achievements,hubble scientific_instrument accomplishment,AEA,5
303,Hubble Telescope Achievements,hubble scientific_instrument action,AEA,5
303,Hubble Telescope Achievements,hubble magnifier event,AEA,5
303,Hubble Telescope Achievements,hubble magnifier act,AEA,5
303,Hubble Telescope Achievements,hubble magnifier accomplishment,AEA,5
303,Hubble Telescope Achievements,hubble magnifier action,AEA,5
303,Hubble Telescope Achievements,hubble instrument event,AEA,5
303,Hubble Telescope Achievements,hubble instrument act,AEA,5
303,Hubble Telescope Achievements,hubble instrument accomplishment,AEA,5
303,Hubble Telescope Achievements,hubble instrument action,AEA,5
303,Hubble Telescope Achievements,hubble telescope event,AEA,5
303,Hubble Telescope Achievements,hubble telescope act,AEA,5
303,Hubble Telescope Achievements,hubble telescope accomplishment,AEA,5
303,Hubble Telescope Achievements,hubble telescope action,AEA,5
304,Endangered Species (Mammals),endanger species ( vertebrate ),AEA,5
304,Endangered Species (Mammals),endanger species ( mammal ),AEA,5
304,Endangered Species (Mammals),endanger species ( animal ),AEA,5
304,Endangered Species (Mammals),endanger species ( chordate ),AEA,5
304,Endangered Species (Mammals),endanger taxonomic_group ( vertebrate ),AEA,5
304,Endangered Species (Mammals),endanger taxonomic_group ( mammal ),AEA,5
304,Endangered Species (Mammals),endanger taxonomic_group ( animal ),AEA,5
304,Endangered Species (Mammals),endanger taxonomic_group ( chordate ),AEA,5
304,Endangered Species (Mammals),endanger group ( vertebrate ),AEA,5
304,Endangered Species (Mammals),endanger group ( mammal ),AEA,5
304,Endangered Species (Mammals),endanger group ( animal ),AEA,5
304,Endangered Species (Mammals),endanger group ( chordate ),AEA,5
304,Endangered Species (Mammals),endanger biological_group ( vertebrate ),AEA,5
304,Endangered Species (Mammals),endanger biological_group ( mammal ),AEA,5
304,Endangered Species (Mammals),endanger biological_group ( animal ),AEA,5
304,Endangered Species (Mammals),endanger biological_group ( chordate ),AEA,5
304,Endangered Species (Mammals),exist species ( vertebrate ),AEA,5
304,Endangered Species (Mammals),exist species ( mammal ),AEA,5
304,Endangered Species (Mammals),exist species ( animal ),AEA,5
304,Endangered Species (Mammals),exist species ( chordate ),AEA,5
304,Endangered Species (Mammals),exist taxonomic_group ( vertebrate ),AEA,5
304,Endangered Species (Mammals),exist taxonomic_group ( mammal ),AEA,5
304,Endangered Species (Mammals),exist taxonomic_group ( animal ),AEA,5
304,Endangered Species (Mammals),exist taxonomic_group ( chordate ),AEA,5
304,Endangered Species (Mammals),exist group ( vertebrate ),AEA,5
304,Endangered Species (Mammals),exist group ( mammal ),AEA,5
304,Endangered Species (Mammals),exist group ( animal ),AEA,5
304,Endangered Species (Mammals),exist group ( chordate ),AEA,5
304,Endangered Species (Mammals),exist biological_group ( vertebrate ),AEA,5
304,Endangered Species (Mammals),exist biological_group ( mammal ),AEA,5
304,Endangered Species (Mammals),exist biological_group ( animal ),AEA,5
304,Endangered Species (Mammals),exist biological_group ( chordate ),AEA,5
305,Most Dangerous Vehicles,most dangerous instrumentality,AEA,5
305,Most Dangerous Vehicles,most dangerous conveyance,AEA,5
305,Most Dangerous Vehicles,most dangerous artifact,AEA,5
305,Most Dangerous Vehicles,most dangerous vehicle,AEA,5
306,African Civilian Deaths,african civilian death,AEA,5
306,African Civilian Deaths,african civilian happening,AEA,5
306,African Civilian Deaths,african civilian event,AEA,5
306,African Civilian Deaths,african civilian change,AEA,5
307,New Hydroelectric Projects,new hydroelectric content,AEA,5
307,New Hydroelectric Projects,new hydroelectric project,AEA,5
307,New Hydroelectric Projects,new hydroelectric plan,AEA,5
307,New Hydroelectric Projects,new hydroelectric idea,AEA,5
308,Implant Dentistry,implant medicine,AEA,5
308,Implant Dentistry,implant medical_science,AEA,5
308,Implant Dentistry,implant dentistry,AEA,5
308,Implant Dentistry,implant life_science,AEA,5
309,Rap and Crime,impact and transgression,AEA,5
309,Rap and Crime,impact and activity,AEA,5
309,Rap and Crime,impact and wrongdoing,AEA,5
309,Rap and Crime,impact and crime,AEA,5
309,Rap and Crime,contact and transgression,AEA,5
309,Rap and Crime,contact and activity,AEA,5
309,Rap and Crime,contact and wrongdoing,AEA,5
309,Rap and Crime,contact and crime,AEA,5
309,Rap and Crime,rap and transgression,AEA,5
309,Rap and Crime,rap and activity,AEA,5
309,Rap and Crime,rap and wrongdoing,AEA,5
309,Rap and Crime,rap and crime,AEA,5
309,Rap and Crime,blow and transgression,AEA,5
309,Rap and Crime,blow and activity,AEA,5
309,Rap and Crime,blow and wrongdoing,AEA,5
309,Rap and Crime,blow and crime,AEA,5
310,Radio Waves and Brain Cancer,telecommunication event and brain disease,AEA,5
