id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international gatherings psychiatric,CMP,12.5
301,international organized crime,international organized statute,CMP,12.5
301,international organized crime,international khannouchi spread,CMP,12.5
301,international organized crime,newsmagazines rashid level,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international ysp crime,CMP,12.5
301,international organized crime,international organized dodgeball,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international motive acknowledged,CMP,12.5
301,international organized crime,international lee no,CMP,12.5
301,international organized crime,international activities crime,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international medvedeva learnmore,CMP,12.5
301,international organized crime,international community published,CMP,12.5
301,international organized crime,international mountain crime,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international organized citizens,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international philanthropies petty,CMP,12.5
301,international organized crime,international under crime,CMP,12.5
301,international organized crime,international organized lawlessness,CMP,12.5
301,international organized crime,forward aberdeen marseilles,CMP,12.5
301,international organized crime,international d.c. driven,CMP,12.5
301,international organized crime,international simcha crime,CMP,12.5
301,international organized crime,international alamannia crime,CMP,12.5
301,international organized crime,international backward crime,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international wellington criminal,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international cordilleras crime,CMP,12.5
301,international organized crime,torch organized crime,CMP,12.5
301,international organized crime,international organize crime,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international organised crime,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,schwechat amplified immigrants,CMP,12.5
301,international organized crime,manifestation counterpoint crime,CMP,12.5
301,international organized crime,international drives crime,CMP,12.5
301,international organized crime,series christian searches,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
301,international organized crime,international convention murders,CMP,12.5
301,international organized crime,international chang trend,CMP,12.5
301,international organized crime,international organized gambling,CMP,12.5
301,international organized crime,youngest organized pews,CMP,12.5
301,international organized crime,analyst organized crime,CMP,12.5
301,international organized crime,international protecting topic,CMP,12.5
301,international organized crime,international organized crime,CMP,12.5
302,poliomyelitis and post-polio,"emplaced pepsico 3,469",CMP,12.5
302,poliomyelitis and post-polio,homophony touring federation/entertainment,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis busters yezidis,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis guests poverty,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis appreciation nelisse,CMP,12.5
302,poliomyelitis and post-polio,auster iiie www.hotel,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis inventory corpo,CMP,12.5
302,poliomyelitis and post-polio,certify settled post-polio,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis spruce jilbab,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis fixate suntans,CMP,12.5
302,poliomyelitis and post-polio,moderniser and sirotka,CMP,12.5
302,poliomyelitis and post-polio,hyperuricemia mix popliteal,CMP,12.5
302,poliomyelitis and post-polio,dae-jung dove seedpods,CMP,12.5
302,poliomyelitis and post-polio,sidime concentrated conceding,CMP,12.5
302,poliomyelitis and post-polio,255.2 beauty cuestiones,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis family kaushik,CMP,12.5
302,poliomyelitis and post-polio,zhong ambiguous bourgeoisie,CMP,12.5
302,poliomyelitis and post-polio,sverdrup spell caimito,CMP,12.5
302,poliomyelitis and post-polio,oligodendrocytes goods multi-language,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis criticised oddvar,CMP,12.5
302,poliomyelitis and post-polio,imaro steel effendi,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis and sorbie,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis scarf transamerican,CMP,12.5
302,poliomyelitis and post-polio,saujana protection oceaneering,CMP,12.5
302,poliomyelitis and post-polio,hatchling beijing post-polio,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis fuel 7.125,CMP,12.5
302,poliomyelitis and post-polio,besco authorities olejniczak,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis acquisitions olympism,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis and chenille,CMP,12.5
302,poliomyelitis and post-polio,wvt requiring no-smoking,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis 1994 phantosmia,CMP,12.5
302,poliomyelitis and post-polio,misappropriation pipes chauvinist,CMP,12.5
302,poliomyelitis and post-polio,optometric approaches 1.061,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis two-day quarantines,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis october kissane,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis read winterberry,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis of spigots,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis and 4-of-6,CMP,12.5
302,poliomyelitis and post-polio,dumstorf morton jila,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis sheffield successional,CMP,12.5
302,poliomyelitis and post-polio,dollarization searching initialisms,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis memorandum homophonous,CMP,12.5
302,poliomyelitis and post-polio,toggles hum arrhidaeus,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis reno corfo,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis throughout debendranath,CMP,12.5
302,poliomyelitis and post-polio,karazin asked rockhounds,CMP,12.5
302,poliomyelitis and post-polio,arsenic communities ranjana,CMP,12.5
302,poliomyelitis and post-polio,poliomyelitis buying amed,CMP,12.5
302,poliomyelitis and post-polio,lcf shipping bjelica,CMP,12.5
302,poliomyelitis and post-polio,underclassman subsidence ಶ,CMP,12.5
303,hubble telescope achievements,hubble telescope retirment,CMP,12.5
303,hubble telescope achievements,hubble telescopes sights,CMP,12.5
303,hubble telescope achievements,hubble telescope lilley,CMP,12.5
303,hubble telescope achievements,shante telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope simplifying,CMP,12.5
303,hubble telescope achievements,hubble hannaford achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope accomplishments,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescopes accomplishments,CMP,12.5
303,hubble telescope achievements,hubble telescope commended,CMP,12.5
303,hubble telescope achievements,hubble telescope professionalism,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble mapping achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope diverse,CMP,12.5
303,hubble telescope achievements,hubble telescope hailed,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble boonstra achievements,CMP,12.5
303,hubble telescope achievements,hubble pocketed achievements,CMP,12.5
303,hubble telescope achievements,hubble non-law achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope witbank,CMP,12.5
303,hubble telescope achievements,hubble telescopes achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,aeroperu telescope affairs,CMP,12.5
303,hubble telescope achievements,hubble rayen achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble orbit achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope reaped,CMP,12.5
303,hubble telescope achievements,hubble telescope crowning,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope recognition,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,telescope telescope common,CMP,12.5
303,hubble telescope achievements,hubble telescope intercultural,CMP,12.5
303,hubble telescope achievements,hubble telescope kovach,CMP,12.5
303,hubble telescope achievements,hubble telescope exclusives,CMP,12.5
303,hubble telescope achievements,hubble beagle managerial,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble heyman achievements,CMP,12.5
303,hubble telescope achievements,reddish-purple telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope scientific,CMP,12.5
303,hubble telescope achievements,hubble telescope achievements,CMP,12.5
303,hubble telescope achievements,hubble spore-bearing achievements,CMP,12.5
303,hubble telescope achievements,hubble telescope collaborations,CMP,12.5
303,hubble telescope achievements,hubble bassano narnian,CMP,12.5
303,hubble telescope achievements,hubble telescopes brightest,CMP,12.5
303,hubble telescope achievements,discovered telescope achievements,CMP,12.5
304,endangered species (mammals),endangered species jingzong,CMP,12.5
304,endangered species (mammals),endangered species shooter,CMP,12.5
304,endangered species (mammals),endangered species amalric,CMP,12.5
304,endangered species (mammals),coastal species noto,CMP,12.5
304,endangered species (mammals),endangered species power-up,CMP,12.5
304,endangered species (mammals),hellfest species 59.02,CMP,12.5
304,endangered species (mammals),endangered species vecchione,CMP,12.5
304,endangered species (mammals),cloakrooms harvested determinate,CMP,12.5
304,endangered species (mammals),endangered species antić,CMP,12.5
304,endangered species (mammals),endangered espagnole ahuja,CMP,12.5
304,endangered species (mammals),endangered species frontrunner,CMP,12.5
304,endangered species (mammals),habitats species trademarking,CMP,12.5
304,endangered species (mammals),endangered species db,CMP,12.5
304,endangered species (mammals),endangered species imitated,CMP,12.5
304,endangered species (mammals),endangered species jim,CMP,12.5
304,endangered species (mammals),protected species troubling,CMP,12.5
304,endangered species (mammals),endangered species buraku,CMP,12.5
304,endangered species (mammals),endangered species mersin,CMP,12.5
304,endangered species (mammals),ecologist species fluoridation,CMP,12.5
304,endangered species (mammals),endangered species lushington,CMP,12.5
304,endangered species (mammals),441 species pescatori,CMP,12.5
304,endangered species (mammals),considering species scuttled,CMP,12.5
304,endangered species (mammals),endangered species wll,CMP,12.5
304,endangered species (mammals),tigre species fairview,CMP,12.5
304,endangered species (mammals),endangered crocodile dehradun,CMP,12.5
304,endangered species (mammals),endangered species restore,CMP,12.5
304,endangered species (mammals),approval species 22.26,CMP,12.5
304,endangered species (mammals),endangered johns time-domain,CMP,12.5
304,endangered species (mammals),endangered inhabit mogol,CMP,12.5
304,endangered species (mammals),endangered species kaleida,CMP,12.5
304,endangered species (mammals),coloration species hermagoras,CMP,12.5
304,endangered species (mammals),endangered species games,CMP,12.5
304,endangered species (mammals),conservation species re-election,CMP,12.5
304,endangered species (mammals),endangered sacrificed waiheke,CMP,12.5
304,endangered species (mammals),endangered species brumskine,CMP,12.5
304,endangered species (mammals),endangered endemic plaintively,CMP,12.5
304,endangered species (mammals),endangered species dubos,CMP,12.5
304,endangered species (mammals),endangered species tendon,CMP,12.5
304,endangered species (mammals),compete species starlets,CMP,12.5
304,endangered species (mammals),endangered species alexi,CMP,12.5
304,endangered species (mammals),endangered species arcadians,CMP,12.5
304,endangered species (mammals),endangered species scots,CMP,12.5
304,endangered species (mammals),endangered species privatising,CMP,12.5
304,endangered species (mammals),endangered species ab,CMP,12.5
304,endangered species (mammals),endangered endangered lipton,CMP,12.5
304,endangered species (mammals),endangered species lolich,CMP,12.5
304,endangered species (mammals),endangered species eldoret,CMP,12.5
304,endangered species (mammals),endangered species antics,CMP,12.5
304,endangered species (mammals),i.o.o.f. species benchmark,CMP,12.5
304,endangered species (mammals),endangered species bo'ao,CMP,12.5
305,most dangerous vehicles,most tempo vehicles,CMP,12.5
305,most dangerous vehicles,barrels dangerous vehicles,CMP,12.5
305,most dangerous vehicles,most criminals vehicles,CMP,12.5
305,most dangerous vehicles,companies locks cars,CMP,12.5
305,most dangerous vehicles,74-year jfk cars,CMP,12.5
305,most dangerous vehicles,americans deafened dozens,CMP,12.5
305,most dangerous vehicles,compete exterminate vehicles,CMP,12.5
305,most dangerous vehicles,when slippery a-league,CMP,12.5
305,most dangerous vehicles,number psychoactive vehicles,CMP,12.5
305,most dangerous vehicles,food dangerous injuries,CMP,12.5
305,most dangerous vehicles,it prudently batteries,CMP,12.5
305,most dangerous vehicles,i dangerous vehicles,CMP,12.5
305,most dangerous vehicles,are theatro euro235,CMP,12.5
305,most dangerous vehicles,fundamental dangerous vehicles,CMP,12.5
305,most dangerous vehicles,ever russa vehicles,CMP,12.5
305,most dangerous vehicles,annoying harmless vehicles,CMP,12.5
305,most dangerous vehicles,most acts lvs,CMP,12.5
305,most dangerous vehicles,tenaciously tackling vehicles,CMP,12.5
305,most dangerous vehicles,industry cheating vehicles,CMP,12.5
305,most dangerous vehicles,separation safety vehicles,CMP,12.5
305,most dangerous vehicles,blaga dangerous donate,CMP,12.5
