id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
301,international organized crime,international organized crime,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis out post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
303,hubble telescope achievements,hubble telescope achievements,CMP,30
