id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organize crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
301,international organized crime,international organized crime,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,17.5
