id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,prohertrib organized murders,CusText,5
301,international organized crime,international organize crime,CusText,5
301,international organized crime,international sponsored crime,CusText,5
301,international organized crime,international initiated crime,CusText,5
301,international organized crime,international participated crime,CusText,5
301,international organized crime,global organized murder,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,based organized instance,CusText,5
301,international organized crime,international organizing crime,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,based participating crime,CusText,5
301,international organized crime,international organized dealing,CusText,5
301,international organized crime,international initiated instance,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international organized criminal,CusText,5
301,international organized crime,international conjunction crime,CusText,5
301,international organized crime,both organizing crime,CusText,5
301,international organized crime,based kuhdz criminal,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international organized murders,CusText,5
301,international organized crime,international organized crimes,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international organized instance,CusText,5
301,international organized crime,international kuhdz crime,CusText,5
301,international organized crime,international participated crime,CusText,5
301,international organized crime,prohertrib organized crime,CusText,5
301,international organized crime,international organised murder,CusText,5
301,international organized crime,global organized crime,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international organized dealing,CusText,5
301,international organized crime,international sponsored crimes,CusText,5
301,international organized crime,international organised murders,CusText,5
301,international organized crime,international organised instance,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international initiated murders,CusText,5
301,international organized crime,international organizing dealing,CusText,5
301,international organized crime,both organized murders,CusText,5
301,international organized crime,international initiated indeed,CusText,5
301,international organized crime,international organized criminal,CusText,5
301,international organized crime,international organized crime,CusText,5
301,international organized crime,international initiated crime,CusText,5
301,international organized crime,which organized criminal,CusText,5
301,international organized crime,international organized criminal,CusText,5
301,international organized crime,both participating indeed,CusText,5
301,international organized crime,well kuhdz crime,CusText,5
301,international organized crime,international organised crime,CusText,5
301,international organized crime,based organizing crime,CusText,5
301,international organized crime,global organized crime,CusText,5
302,poliomyelitis and post-polio,"poliomyelitis , post-polio",CusText,5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,5
302,poliomyelitis and post-polio,poliomyelitis both cw96,CusText,5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,5
302,poliomyelitis and post-polio,poliomyelitis . post-polio,CusText,5
302,poliomyelitis and post-polio,em96 and post-polio,CusText,5
302,poliomyelitis and post-polio,poliomyelitis all rw97,CusText,5
302,poliomyelitis and post-polio,poliomyelitis and 23aou94,CusText,5
302,poliomyelitis and post-polio,oly-2004-cycling and http://www.nsgtmo.navy.mil,CusText,5
302,poliomyelitis and post-polio,js03 and keyrates,CusText,5
302,poliomyelitis and post-polio,oly-2004-cycling while post-polio,CusText,5
302,poliomyelitis and post-polio,oly-2004-cycling and kd96,CusText,5
302,poliomyelitis and post-polio,kd96 all post-polio,CusText,5
302,poliomyelitis and post-polio,js03 all http://www.kasparovchess.com,CusText,5
302,poliomyelitis and post-polio,mangxamba all post-polio,CusText,5
302,poliomyelitis and post-polio,poliomyelitis well post-polio,CusText,5
302,poliomyelitis and post-polio,poliomyelitis including http://www.nsgtmo.navy.mil,CusText,5
302,poliomyelitis and post-polio,poliomyelitis and post-polio,CusText,5
302,poliomyelitis and post-polio,"kd96 , post-polio",CusText,5
302,poliomyelitis and post-polio,poliomyelitis well post-polio,CusText,5
302,poliomyelitis and post-polio,poliomyelitis . post-polio,CusText,5
302,poliomyelitis and post-polio,oly-2004-cycling including post-polio,CusText,5
302,poliomyelitis and post-polio,bb94 well post-polio,CusText,5
