id,text,obfuscatedText,mechanism,level
301,International Organized Crime,criminals hodson,FEA,12
301,International Organized Crime,collegium criminal,FEA,12
301,International Organized Crime,laws xenophobic,FEA,12
301,International Organized Crime,combatting fight,FEA,12
301,International Organized Crime,combating fight,FEA,12
301,International Organized Crime,basta law,FEA,12
301,International Organized Crime,basta laws,FEA,12
301,International Organized Crime,fight interdepartmental,FEA,12
301,International Organized Crime,commission fight,FEA,12
301,International Organized Crime,commission fighting,FEA,12
301,International Organized Crime,hodson police,FEA,12
301,International Organized Crime,basta bfn,FEA,12
301,International Organized Crime,bfn burbyga,FEA,12
301,International Organized Crime,bfn nellija,FEA,12
301,International Organized Crime,bfn locmele,FEA,12
301,International Organized Crime,bfn xenophobic,FEA,12
301,International Organized Crime,basta security,FEA,12
301,International Organized Crime,prevention said,FEA,12
301,International Organized Crime,activity basta,FEA,12
301,International Organized Crime,criminal interior,FEA,12
301,International Organized Crime,fight nellija,FEA,12
301,International Organized Crime,fight locmele,FEA,12
301,International Organized Crime,fighting nellija,FEA,12
301,International Organized Crime,fighting locmele,FEA,12
301,International Organized Crime,fight resolved,FEA,12
301,International Organized Crime,collegium interior,FEA,12
301,International Organized Crime,basta text,FEA,12
301,International Organized Crime,eventually fight,FEA,12
301,International Organized Crime,nellija text,FEA,12
301,International Organized Crime,locmele text,FEA,12
301,International Organized Crime,text xenophobic,FEA,12
301,International Organized Crime,envisioned fight,FEA,12
301,International Organized Crime,fight phenomenon,FEA,12
301,International Organized Crime,reported xenophobia,FEA,12
301,International Organized Crime,fighting introduced,FEA,12
301,International Organized Crime,definition fight,FEA,12
301,International Organized Crime,activities dealt,FEA,12
301,International Organized Crime,active dealt,FEA,12
301,International Organized Crime,basta state,FEA,12
301,International Organized Crime,basta states,FEA,12
301,International Organized Crime,fight interior,FEA,12
301,International Organized Crime,basta place,FEA,12
301,International Organized Crime,fight said,FEA,12
301,International Organized Crime,office prevention,FEA,12
301,International Organized Crime,fight safer,FEA,12
301,International Organized Crime,hodson legislation,FEA,12
301,International Organized Crime,adopts nellija,FEA,12
301,International Organized Crime,adopts locmele,FEA,12
301,International Organized Crime,nellija plan,FEA,12
301,International Organized Crime,locmele plan,FEA,12
302,Poliomyelitis and Post-Polio,including varicella,FEA,12
302,Poliomyelitis and Post-Polio,appropriate varicella,FEA,12
302,Poliomyelitis and Post-Polio,use varicella,FEA,12
302,Poliomyelitis and Post-Polio,uncontrolled varicella,FEA,12
302,Poliomyelitis and Post-Polio,infection multidrugresistant,FEA,12
302,Poliomyelitis and Post-Polio,gastroenteritis infection,FEA,12
302,Poliomyelitis and Post-Polio,gastroenteritis infections,FEA,12
302,Poliomyelitis and Post-Polio,studies varicella,FEA,12
302,Poliomyelitis and Post-Polio,fever infection,FEA,12
302,Poliomyelitis and Post-Polio,events varicella,FEA,12
302,Poliomyelitis and Post-Polio,gastrointestinal preventing,FEA,12
302,Poliomyelitis and Post-Polio,gastrointestinal prevention,FEA,12
302,Poliomyelitis and Post-Polio,schedule varicella,FEA,12
302,Poliomyelitis and Post-Polio,adverse varicella,FEA,12
302,Poliomyelitis and Post-Polio,cimetidine preventing,FEA,12
302,Poliomyelitis and Post-Polio,bleeding pneumonia,FEA,12
302,Poliomyelitis and Post-Polio,agent gastroenteritis,FEA,12
302,Poliomyelitis and Post-Polio,statement varicella,FEA,12
302,Poliomyelitis and Post-Polio,med respiratory,FEA,12
302,Poliomyelitis and Post-Polio,update varicella,FEA,12
302,Poliomyelitis and Post-Polio,pneumonia ventilated,FEA,12
302,Poliomyelitis and Post-Polio,pneumonia ventilation,FEA,12
302,Poliomyelitis and Post-Polio,influenza vaccine,FEA,12
302,Poliomyelitis and Post-Polio,gastroenteritis tract,FEA,12
302,Poliomyelitis and Post-Polio,status varicella,FEA,12
302,Poliomyelitis and Post-Polio,hyph med,FEA,12
302,Poliomyelitis and Post-Polio,cimetidine control,FEA,12
302,Poliomyelitis and Post-Polio,vaccine varicella,FEA,12
302,Poliomyelitis and Post-Polio,pertussis vaccine,FEA,12
302,Poliomyelitis and Post-Polio,bleeding gastrointestinal,FEA,12
