id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,are ec-121 literae,Mahalanobis,5
301,international organized crime,grand federation nato,Mahalanobis,5
301,international organized crime,revalued all-russian us,Mahalanobis,5
301,international organized crime,dpp chiayi percent,Mahalanobis,5
301,international organized crime,sgst 120-member dhekelia,Mahalanobis,5
301,international organized crime,terror fax 3.52,Mahalanobis,5
301,international organized crime,tuesdays bertuzzi virak,Mahalanobis,5
301,international organized crime,analyst demokrasi federal,Mahalanobis,5
301,international organized crime,62-acre heraldic ida-viru,Mahalanobis,5
301,international organized crime,a321s hitfix crime,Mahalanobis,5
301,international organized crime,800-535-4425 flower-class reconstruction,Mahalanobis,5
301,international organized crime,) bingguo adhamiya,Mahalanobis,5
301,international organized crime,morpheus 92-88 welcome.html,Mahalanobis,5
301,international organized crime,mazhan ricostruzione wittenauer,Mahalanobis,5
301,international organized crime,thoracic jusen baghram,Mahalanobis,5
301,international organized crime,tinto classe (516),Mahalanobis,5
301,international organized crime,sitcom semisimple kivu,Mahalanobis,5
301,international organized crime,international qotbi mccarrick,Mahalanobis,5
301,international organized crime,during 2075 motagua,Mahalanobis,5
301,international organized crime,rabbinical grêmio moabites,Mahalanobis,5
301,international organized crime,aloro booklist guilders,Mahalanobis,5
301,international organized crime,lpga borg excretory,Mahalanobis,5
301,international organized crime,d'orso plumly nonempty,Mahalanobis,5
301,international organized crime,shafted goal yamamah,Mahalanobis,5
301,international organized crime,llong greenmail draft,Mahalanobis,5
301,international organized crime,full-time llion bien,Mahalanobis,5
301,international organized crime,daughter sun obrador,Mahalanobis,5
301,international organized crime,cecilius fimat -,Mahalanobis,5
301,international organized crime,(800) wisła cuentos,Mahalanobis,5
301,international organized crime,unha-2 kolyvanov parques,Mahalanobis,5
301,international organized crime,at rosiest hoài,Mahalanobis,5
301,international organized crime,clezio themes statistik,Mahalanobis,5
301,international organized crime,staudacher luxury patria,Mahalanobis,5
301,international organized crime,stanford anglo-mysore doberan,Mahalanobis,5
301,international organized crime,vladan http://blogs.timesunion.com eta,Mahalanobis,5
301,international organized crime,university jams irrawaddy,Mahalanobis,5
301,international organized crime,legality natal 9-8,Mahalanobis,5
301,international organized crime,money comerciales percent,Mahalanobis,5
301,international organized crime,synanthedon selee knapweed,Mahalanobis,5
301,international organized crime,unprofitable nuclear snatch,Mahalanobis,5
301,international organized crime,membership harpeth shrikes,Mahalanobis,5
301,international organized crime,zhongshan aldo drbombay,Mahalanobis,5
301,international organized crime,rahz lindlaw shanghai,Mahalanobis,5
301,international organized crime,cephalosporin polyakov chunlin,Mahalanobis,5
301,international organized crime,badheaders catholics or,Mahalanobis,5
301,international organized crime,dasht-e bhutto execution,Mahalanobis,5
301,international organized crime,uttoxeter sodium mīān,Mahalanobis,5
301,international organized crime,urzua g-type venezuelans,Mahalanobis,5
301,international organized crime,zhongyu hemorrhaging reduced-price,Mahalanobis,5
301,international organized crime,meyrick wurl markit,Mahalanobis,5
302,poliomyelitis and post-polio,mungiu rev. trata,Mahalanobis,5
302,poliomyelitis and post-polio,"16,285 exempting minnig",Mahalanobis,5
302,poliomyelitis and post-polio,that nay to,Mahalanobis,5
302,poliomyelitis and post-polio,sabhavasu stores doh,Mahalanobis,5
302,poliomyelitis and post-polio,trogons 87-seat dellape,Mahalanobis,5
302,poliomyelitis and post-polio,cyberattacks distrito bestsellers,Mahalanobis,5
302,poliomyelitis and post-polio,down genetic olympiads,Mahalanobis,5
302,poliomyelitis and post-polio,sekiwake rasbora lampedusa,Mahalanobis,5
302,poliomyelitis and post-polio,camping france ajello,Mahalanobis,5
302,poliomyelitis and post-polio,parish kretschmer feitelberg,Mahalanobis,5
302,poliomyelitis and post-polio,44-man gulbenkian billions,Mahalanobis,5
302,poliomyelitis and post-polio,morozov quad-core badain,Mahalanobis,5
302,poliomyelitis and post-polio,banxquote head symbionese,Mahalanobis,5
302,poliomyelitis and post-polio,mannerheim la 1.315,Mahalanobis,5
302,poliomyelitis and post-polio,inside-forward gso '',Mahalanobis,5
302,poliomyelitis and post-polio,"ophiuchus two-blade 627,000",Mahalanobis,5
302,poliomyelitis and post-polio,idrac upright g/mol,Mahalanobis,5
302,poliomyelitis and post-polio,rijksmonument chisnall hamaneh,Mahalanobis,5
302,poliomyelitis and post-polio,luisana standards kazadi,Mahalanobis,5
302,poliomyelitis and post-polio,pontifice rakhmon address,Mahalanobis,5
302,poliomyelitis and post-polio,terri peut fyrom,Mahalanobis,5
302,poliomyelitis and post-polio,"ontologies gram 1,377",Mahalanobis,5
302,poliomyelitis and post-polio,http://timesunion.com two-year-olds college-jewish,Mahalanobis,5
302,poliomyelitis and post-polio,126-mile wissanu clubs,Mahalanobis,5
302,poliomyelitis and post-polio,geimer a400m counselors,Mahalanobis,5
302,poliomyelitis and post-polio,taiyuan river petritz,Mahalanobis,5
302,poliomyelitis and post-polio,hernandez mychael słupca,Mahalanobis,5
302,poliomyelitis and post-polio,corpses sixes zhū,Mahalanobis,5
302,poliomyelitis and post-polio,sebestyen noh ger,Mahalanobis,5
302,poliomyelitis and post-polio,at kan 6.00,Mahalanobis,5
302,poliomyelitis and post-polio,rabbi 15.70 district,Mahalanobis,5
302,poliomyelitis and post-polio,"földes receiver 8,833",Mahalanobis,5
302,poliomyelitis and post-polio,hye suborbital atalanta,Mahalanobis,5
302,poliomyelitis and post-polio,dollars australasian gulhane,Mahalanobis,5
302,poliomyelitis and post-polio,decelerations arab interbank,Mahalanobis,5
302,poliomyelitis and post-polio,maïnassara beauharnois caussols,Mahalanobis,5
302,poliomyelitis and post-polio,0800 xiaolangdi barish,Mahalanobis,5
302,poliomyelitis and post-polio,nonintrusive bourgoin gamova,Mahalanobis,5
302,poliomyelitis and post-polio,93.25 sundresses karolos,Mahalanobis,5
302,poliomyelitis and post-polio,charkaoui glaxo influence,Mahalanobis,5
302,poliomyelitis and post-polio,nonsubscribers 16-race 996-0075,Mahalanobis,5
302,poliomyelitis and post-polio,318-2300 spacewalking partido,Mahalanobis,5
302,poliomyelitis and post-polio,jelena mrna ramattan,Mahalanobis,5
302,poliomyelitis and post-polio,farnell sti sidenstricker,Mahalanobis,5
302,poliomyelitis and post-polio,khorasan macedon kornukov,Mahalanobis,5
302,poliomyelitis and post-polio,juche qe5 cyclone,Mahalanobis,5
302,poliomyelitis and post-polio,http://europa.eu.int 2011-2015 international,Mahalanobis,5
302,poliomyelitis and post-polio,"papillomavirus 100,001 karbala",Mahalanobis,5
302,poliomyelitis and post-polio,disque jewish 13-29,Mahalanobis,5
302,poliomyelitis and post-polio,security 100-share hiltzik,Mahalanobis,5
303,hubble telescope achievements,washash ibf putouts,Mahalanobis,5
303,hubble telescope achievements,stasis screen salva,Mahalanobis,5
303,hubble telescope achievements,http://thomas.loc.gov terusuke ventral,Mahalanobis,5
303,hubble telescope achievements,hartal lobaccaro australia,Mahalanobis,5
303,hubble telescope achievements,3-meter hmas intraday,Mahalanobis,5
303,hubble telescope achievements,vural 53-meter discrimination,Mahalanobis,5
303,hubble telescope achievements,dubia languages carbohydrate,Mahalanobis,5
303,hubble telescope achievements,2311-3731 stinson coalbed,Mahalanobis,5
303,hubble telescope achievements,busters lefthand ferriss,Mahalanobis,5
303,hubble telescope achievements,mungiu kaifeng irish-canadian,Mahalanobis,5
303,hubble telescope achievements,k-5 gouge khaw,Mahalanobis,5
303,hubble telescope achievements,64.0 folha meatiest,Mahalanobis,5
303,hubble telescope achievements,ibov accountings hubli,Mahalanobis,5
303,hubble telescope achievements,a-year non-obligatory podium,Mahalanobis,5
303,hubble telescope achievements,bouchercon aircraft shimoff,Mahalanobis,5
303,hubble telescope achievements,habilis leed british,Mahalanobis,5
303,hubble telescope achievements,congenital fenderson yuhiko,Mahalanobis,5
303,hubble telescope achievements,elinor furlongs nonfarm,Mahalanobis,5
303,hubble telescope achievements,pharmaceutica kaiserliche truecar.com,Mahalanobis,5
303,hubble telescope achievements,nájera - kinsch,Mahalanobis,5
303,hubble telescope achievements,taraf single-legged birthstones,Mahalanobis,5
303,hubble telescope achievements,deux-sèvres topix majongwe,Mahalanobis,5
303,hubble telescope achievements,90.93 78.40 fossils,Mahalanobis,5
303,hubble telescope achievements,ga. 116-year extrajudicial,Mahalanobis,5
303,hubble telescope achievements,kindergartens kwang corsets,Mahalanobis,5
303,hubble telescope achievements,' sixsmith hipkiss,Mahalanobis,5
303,hubble telescope achievements,converted .620 sadreddin,Mahalanobis,5
303,hubble telescope achievements,přerov batajnica westminster,Mahalanobis,5
303,hubble telescope achievements,afriqiyah 202-887-8348 pandev,Mahalanobis,5
303,hubble telescope achievements,sensus nave zhoukoudian,Mahalanobis,5
303,hubble telescope achievements,mitchell rhineland-palatinate bangabandhu,Mahalanobis,5
303,hubble telescope achievements,crosshatch osovnikar almidhar,Mahalanobis,5
303,hubble telescope achievements,snoehvit florae cristie,Mahalanobis,5
303,hubble telescope achievements,deflator manx dannielynn,Mahalanobis,5
303,hubble telescope achievements,reho getters ussuri,Mahalanobis,5
