id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,international organized hinges,VickreyCMP,12.5
301,international organized crime,international broadwell trafficking,VickreyCMP,12.5
301,international organized crime,international figueroa crime,VickreyCMP,12.5
301,international organized crime,for organize mafia,VickreyCMP,12.5
301,international organized crime,global organize bishops,VickreyCMP,12.5
301,international organized crime,goal organized crimes,VickreyCMP,12.5
301,international organized crime,global organized trust,VickreyCMP,12.5
301,international organized crime,international organized lobbing,VickreyCMP,12.5
301,international organized crime,international organized trafficking,VickreyCMP,12.5
301,international organized crime,neutral graber sudhin,VickreyCMP,12.5
301,international organized crime,publications organised criminal,VickreyCMP,12.5
301,international organized crime,international organized roswell,VickreyCMP,12.5
301,international organized crime,center organized suspects,VickreyCMP,12.5
301,international organized crime,unicom participate ingested,VickreyCMP,12.5
301,international organized crime,taxonomist engaged oversight,VickreyCMP,12.5
301,international organized crime,san organized vitriol,VickreyCMP,12.5
301,international organized crime,all planned prostitution,VickreyCMP,12.5
301,international organized crime,520 organized extradite,VickreyCMP,12.5
301,international organized crime,claims organized constitute,VickreyCMP,12.5
301,international organized crime,evaded id arson,VickreyCMP,12.5
301,international organized crime,organization tactics crime,VickreyCMP,12.5
301,international organized crime,automotive tampa crime,VickreyCMP,12.5
301,international organized crime,international sfsu curbing,VickreyCMP,12.5
301,international organized crime,association beefed trafficking,VickreyCMP,12.5
301,international organized crime,notice conducted parole,VickreyCMP,12.5
301,international organized crime,law westinghouse crime,VickreyCMP,12.5
301,international organized crime,skipping organized racist,VickreyCMP,12.5
301,international organized crime,critic polarized dixon,VickreyCMP,12.5
301,international organized crime,gloss organized feeds,VickreyCMP,12.5
301,international organized crime,international windpipe crime,VickreyCMP,12.5
301,international organized crime,international nongovernmental crime,VickreyCMP,12.5
301,international organized crime,universiade organizing apprehension,VickreyCMP,12.5
301,international organized crime,non-governmental r-ca informants,VickreyCMP,12.5
301,international organized crime,fair prohibition crime,VickreyCMP,12.5
301,international organized crime,international fifty combating,VickreyCMP,12.5
301,international organized crime,prompted according robbery,VickreyCMP,12.5
301,international organized crime,officially proved mona,VickreyCMP,12.5
301,international organized crime,organizations organized abuse,VickreyCMP,12.5
301,international organized crime,support sediments underreported,VickreyCMP,12.5
301,international organized crime,academies trausch foreclosures,VickreyCMP,12.5
301,international organized crime,global gruesomeness intellectual,VickreyCMP,12.5
301,international organized crime,international pendleton crime,VickreyCMP,12.5
301,international organized crime,vatnajokull seek heinous,VickreyCMP,12.5
301,international organized crime,united kirchdorf homicide,VickreyCMP,12.5
301,international organized crime,international tech feudal,VickreyCMP,12.5
301,international organized crime,recognizes organised date,VickreyCMP,12.5
301,international organized crime,fundamental organised crimes,VickreyCMP,12.5
301,international organized crime,world newton latini,VickreyCMP,12.5
301,international organized crime,international organised mafia,VickreyCMP,12.5
301,international organized crime,hampered medford faring,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis dumber lenders,VickreyCMP,12.5
302,poliomyelitis and post-polio,teardrop and karatassos,VickreyCMP,12.5
302,poliomyelitis and post-polio,shemp fezzan deneb,VickreyCMP,12.5
302,poliomyelitis and post-polio,teri including sofas,VickreyCMP,12.5
302,poliomyelitis and post-polio,"58-58 and 2,944",VickreyCMP,12.5
302,poliomyelitis and post-polio,shiatzy and conforti,VickreyCMP,12.5
302,poliomyelitis and post-polio,ushl gorilla hàm,VickreyCMP,12.5
302,poliomyelitis and post-polio,kamatapur hand imaad,VickreyCMP,12.5
302,poliomyelitis and post-polio,soemitro and wendys,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis dishwasher post-infinite,VickreyCMP,12.5
302,poliomyelitis and post-polio,christianson poplars chacham,VickreyCMP,12.5
302,poliomyelitis and post-polio,lassa along meldon,VickreyCMP,12.5
302,poliomyelitis and post-polio,phenix quick tameleo,VickreyCMP,12.5
302,poliomyelitis and post-polio,gougers chartered frazar,VickreyCMP,12.5
302,poliomyelitis and post-polio,tribalism flour khale,VickreyCMP,12.5
302,poliomyelitis and post-polio,uffington rickd pepler,VickreyCMP,12.5
302,poliomyelitis and post-polio,koloss ’s dismays,VickreyCMP,12.5
302,poliomyelitis and post-polio,coppin placement 15p,VickreyCMP,12.5
302,poliomyelitis and post-polio,favrile gritty ful,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis mosul nakanoshima,VickreyCMP,12.5
302,poliomyelitis and post-polio,cacia duck herawi,VickreyCMP,12.5
302,poliomyelitis and post-polio,curiae and toothy,VickreyCMP,12.5
302,poliomyelitis and post-polio,rikl and 12d,VickreyCMP,12.5
302,poliomyelitis and post-polio,10-of-12 she kumbha,VickreyCMP,12.5
302,poliomyelitis and post-polio,excoriation newspapers post-polio,VickreyCMP,12.5
302,poliomyelitis and post-polio,oocytes strauss penafiel,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis clean kc6,VickreyCMP,12.5
302,poliomyelitis and post-polio,vertebral and hyperemesis,VickreyCMP,12.5
302,poliomyelitis and post-polio,undulated builder wiki-based,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis restoration moelwyn,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis while louay,VickreyCMP,12.5
302,poliomyelitis and post-polio,"immunization proceeds 2,456",VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis world userkaf,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis pages post-polio,VickreyCMP,12.5
302,poliomyelitis and post-polio,javelina reckless dilan,VickreyCMP,12.5
302,poliomyelitis and post-polio,bonal people pulavar,VickreyCMP,12.5
302,poliomyelitis and post-polio,thigpen loans lenhart,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis two shahab-1,VickreyCMP,12.5
302,poliomyelitis and post-polio,17.5 routine suttie,VickreyCMP,12.5
302,poliomyelitis and post-polio,beaune caterpillar plosive,VickreyCMP,12.5
302,poliomyelitis and post-polio,nosocomial no cardinal-deacon,VickreyCMP,12.5
302,poliomyelitis and post-polio,uncro alliance ʻo,VickreyCMP,12.5
302,poliomyelitis and post-polio,kanaeva and kanauj,VickreyCMP,12.5
302,poliomyelitis and post-polio,mijares and arris,VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis with sées,VickreyCMP,12.5
302,poliomyelitis and post-polio,"2,967 loading wiske",VickreyCMP,12.5
302,poliomyelitis and post-polio,poliomyelitis amanda taitt,VickreyCMP,12.5
302,poliomyelitis and post-polio,yo pain churchy,VickreyCMP,12.5
302,poliomyelitis and post-polio,87.11 ... grains,VickreyCMP,12.5
302,poliomyelitis and post-polio,sorour education non-return,VickreyCMP,12.5
303,hubble telescope achievements,scanned telescope achievements,VickreyCMP,12.5
303,hubble telescope achievements,birders telescope twitter,VickreyCMP,12.5
303,hubble telescope achievements,neurophysiology x-ray swisscom,VickreyCMP,12.5
303,hubble telescope achievements,uhn accomplished noteworthy,VickreyCMP,12.5
303,hubble telescope achievements,mir telescopes achievements,VickreyCMP,12.5
303,hubble telescope achievements,hubble teeing accomplishments,VickreyCMP,12.5
303,hubble telescope achievements,camera landmark remarkable,VickreyCMP,12.5
303,hubble telescope achievements,orbiting telescope achievements,VickreyCMP,12.5
303,hubble telescope achievements,painstaking railbus histoire,VickreyCMP,12.5
303,hubble telescope achievements,telescope telescope significance,VickreyCMP,12.5
303,hubble telescope achievements,servicing telescope improvement,VickreyCMP,12.5
303,hubble telescope achievements,technologically telescopes achievement,VickreyCMP,12.5
303,hubble telescope achievements,vidwan clone achievements,VickreyCMP,12.5
303,hubble telescope achievements,hubble telescope 2000,VickreyCMP,12.5
303,hubble telescope achievements,hubble 16-point investments,VickreyCMP,12.5
303,hubble telescope achievements,cluster telescopes spotlight,VickreyCMP,12.5
303,hubble telescope achievements,hubble lamda achievements,VickreyCMP,12.5
303,hubble telescope achievements,naismith pollstar accomplishments,VickreyCMP,12.5
303,hubble telescope achievements,meribel telescope achievements,VickreyCMP,12.5
303,hubble telescope achievements,telescope hubble open,VickreyCMP,12.5
303,hubble telescope achievements,ewin hubble achievements,VickreyCMP,12.5
303,hubble telescope achievements,growing renée achievements,VickreyCMP,12.5
303,hubble telescope achievements,hubble telescopes enhanced,VickreyCMP,12.5
303,hubble telescope achievements,snaith reflected achievements,VickreyCMP,12.5
303,hubble telescope achievements,hubble telescopes understanding,VickreyCMP,12.5
303,hubble telescope achievements,harth solar seventy-five,VickreyCMP,12.5
303,hubble telescope achievements,atlantis repave professionalism,VickreyCMP,12.5
303,hubble telescope achievements,spacecraft telescopes deftness,VickreyCMP,12.5
303,hubble telescope achievements,zhoukoudian telescopes guatemalan,VickreyCMP,12.5
303,hubble telescope achievements,telescope telescope undercuts,VickreyCMP,12.5
303,hubble telescope achievements,telescope telescope endeavors,VickreyCMP,12.5
303,hubble telescope achievements,telescope telescopes accomplishments,VickreyCMP,12.5
303,hubble telescope achievements,maynor essay accomplishments,VickreyCMP,12.5
303,hubble telescope achievements,telescope restroom outstanding,VickreyCMP,12.5
303,hubble telescope achievements,telescope cracks hundertwasser,VickreyCMP,12.5
303,hubble telescope achievements,blowing telescope trumpeting,VickreyCMP,12.5
303,hubble telescope achievements,jackass hubble fiddlin,VickreyCMP,12.5
303,hubble telescope achievements,frameshift telescope politicisation,VickreyCMP,12.5
303,hubble telescope achievements,nasa telescope feat,VickreyCMP,12.5
303,hubble telescope achievements,pontificate telescopes clouding,VickreyCMP,12.5
303,hubble telescope achievements,imminent measured internationally,VickreyCMP,12.5
303,hubble telescope achievements,t-38 lapworth salehi,VickreyCMP,12.5
303,hubble telescope achievements,planet zira achievements,VickreyCMP,12.5
303,hubble telescope achievements,collection telescope achievements,VickreyCMP,12.5
303,hubble telescope achievements,catfight smirke notable,VickreyCMP,12.5
303,hubble telescope achievements,hubble telescopes achievements,VickreyCMP,12.5
303,hubble telescope achievements,borrowers blackening accomplishments,VickreyCMP,12.5
