id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,international organized crime,VickreyCMP,20
301,international organized crime,international organised trafficking,VickreyCMP,20
301,international organized crime,international sponsored crime,VickreyCMP,20
301,international organized crime,for organize crime,VickreyCMP,20
301,international organized crime,based organize even,VickreyCMP,20
301,international organized crime,cross organized crimes,VickreyCMP,20
301,international organized crime,global organised criminal,VickreyCMP,20
301,international organized crime,. organised murders,VickreyCMP,20
301,international organized crime,international organized trafficking,VickreyCMP,20
301,international organized crime,nations logistics crime,VickreyCMP,20
301,international organized crime,made organised crime,VickreyCMP,20
301,international organized crime,international organized criminal,VickreyCMP,20
301,international organized crime,center organized crimes,VickreyCMP,20
301,international organized crime,telecommunication organised crime,VickreyCMP,20
301,international organized crime,airport engaged hate,VickreyCMP,20
301,international organized crime,business organized criminality,VickreyCMP,20
301,international organized crime,all organised murder,VickreyCMP,20
301,international organized crime,based organised trafficking,VickreyCMP,20
301,international organized crime,world organized criminal,VickreyCMP,20
301,international organized crime,organizations organized criminal,VickreyCMP,20
301,international organized crime,organization organised crime,VickreyCMP,20
301,international organized crime,following organised crime,VickreyCMP,20
301,international organized crime,international fundraising curbing,VickreyCMP,20
301,international organized crime,also organised trafficking,VickreyCMP,20
301,international organized crime,notice organised crime,VickreyCMP,20
301,international organized crime,international conjunction crime,VickreyCMP,20
301,international organized crime,international organized crime,VickreyCMP,20
301,international organized crime,critics organized murder,VickreyCMP,20
301,international organized crime,communique organized crime,VickreyCMP,20
301,international organized crime,global mafia crime,VickreyCMP,20
301,international organized crime,_ organizations crime,VickreyCMP,20
301,international organized crime,based organized apprehension,VickreyCMP,20
301,international organized crime,aviation organized mobsters,VickreyCMP,20
301,international organized crime,he organized crimes,VickreyCMP,20
301,international organized crime,international managed combating,VickreyCMP,20
301,international organized crime,prompted organised murder,VickreyCMP,20
301,international organized crime,concluded organized crimes,VickreyCMP,20
301,international organized crime,organizations organized abuse,VickreyCMP,20
301,international organized crime,support organized criminal,VickreyCMP,20
301,international organized crime,rules anywhere '90s,VickreyCMP,20
301,international organized crime,global organised social,VickreyCMP,20
301,international organized crime,international organised crime,VickreyCMP,20
301,international organized crime,established organized violence,VickreyCMP,20
301,international organized crime,nations organised homicide,VickreyCMP,20
301,international organized crime,global organised criminal,VickreyCMP,20
301,international organized crime,contribution organised criminal,VickreyCMP,20
301,international organized crime,focus organised crimes,VickreyCMP,20
301,international organized crime,world organized crime,VickreyCMP,20
301,international organized crime,international organised mafia,VickreyCMP,20
301,international organized crime,which organised homicide,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis murderers snowflakes,VickreyCMP,20
302,poliomyelitis and post-polio,barbiano including navarretia,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis and myeloperoxidase,VickreyCMP,20
302,poliomyelitis and post-polio,emphasising and miccosukees,VickreyCMP,20
302,poliomyelitis and post-polio,meningococcal both qtls,VickreyCMP,20
302,poliomyelitis and post-polio,shobu where post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis animal jrcc,VickreyCMP,20
302,poliomyelitis and post-polio,susanyi also imaad,VickreyCMP,20
302,poliomyelitis and post-polio,soemitro new post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,"poliomyelitis alumhg 40,600",VickreyCMP,20
302,poliomyelitis and post-polio,christianson both geebung,VickreyCMP,20
302,poliomyelitis and post-polio,measles along post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,kassner while folliott,VickreyCMP,20
302,poliomyelitis and post-polio,hartals established self-denial,VickreyCMP,20
302,poliomyelitis and post-polio,"tribalism , khale",VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis not cvetic,VickreyCMP,20
302,poliomyelitis and post-polio,1929/30 further ultracompetitive,VickreyCMP,20
302,poliomyelitis and post-polio,feres while compagnons,VickreyCMP,20
302,poliomyelitis and post-polio,favrile themes post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,"counterclaim , nakanoshima",VickreyCMP,20
302,poliomyelitis and post-polio,cacia and brookstein,VickreyCMP,20
302,poliomyelitis and post-polio,"non-democratic , carnivals",VickreyCMP,20
302,poliomyelitis and post-polio,sjahrir both fifty-year-old,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis and zlatna,VickreyCMP,20
302,poliomyelitis and post-polio,"chickenpox struggling 6,666",VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis and penafiel,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis and kc6,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis will hyperemesis,VickreyCMP,20
302,poliomyelitis and post-polio,chattered production wiki-based,VickreyCMP,20
302,poliomyelitis and post-polio,spirals part post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis while verbrugge,VickreyCMP,20
302,poliomyelitis and post-polio,immunization well post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis both eurolines,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis others post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,"2,811 , habad",VickreyCMP,20
302,poliomyelitis and post-polio,bonal more pulavar,VickreyCMP,20
302,poliomyelitis and post-polio,rubella and øyvind,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis two post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,7.7 widespread pundt,VickreyCMP,20
302,poliomyelitis and post-polio,supplemented and post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,pneumonia and núi,VickreyCMP,20
302,poliomyelitis and post-polio,lashkar-e-jhangvi support post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,monogenism and kanauj,VickreyCMP,20
302,poliomyelitis and post-polio,illiteracy and telecable,VickreyCMP,20
302,poliomyelitis and post-polio,poliomyelitis with sées,VickreyCMP,20
302,poliomyelitis and post-polio,"2,967 country fulminant",VickreyCMP,20
302,poliomyelitis and post-polio,jestina ; post-polio,VickreyCMP,20
302,poliomyelitis and post-polio,immunized such churchy,VickreyCMP,20
302,poliomyelitis and post-polio,87.11 and gubenko,VickreyCMP,20
302,poliomyelitis and post-polio,"monfalcone , couchsurfing",VickreyCMP,20
303,hubble telescope achievements,telescope 4.5 achievements,VickreyCMP,20
303,hubble telescope achievements,telescope telescope achievements,VickreyCMP,20
303,hubble telescope achievements,neuroscientists telescopes contribution,VickreyCMP,20
303,hubble telescope achievements,hubble telescopes accomplishments,VickreyCMP,20
303,hubble telescope achievements,telescope telescopes achievements,VickreyCMP,20
303,hubble telescope achievements,telescope telescope accomplishments,VickreyCMP,20
303,hubble telescope achievements,telescope telescopes impressive,VickreyCMP,20
303,hubble telescope achievements,telescope telescopes achievements,VickreyCMP,20
