id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,ex-england organized crime,VickreyMhl,17.5
301,international organized crime,international patrons down,VickreyMhl,17.5
301,international organized crime,rights previously 45.90,VickreyMhl,17.5
301,international organized crime,international organize http://www.stats.gov.cn,VickreyMhl,17.5
301,international organized crime,center organised violence,VickreyMhl,17.5
301,international organized crime,nations organizations crime,VickreyMhl,17.5
301,international organized crime,that governance cherts,VickreyMhl,17.5
301,international organized crime,renown organized ever,VickreyMhl,17.5
301,international organized crime,"international sturmgeschütz ,",VickreyMhl,17.5
301,international organized crime,but msosa crime,VickreyMhl,17.5
301,international organized crime,international organizing policeman,VickreyMhl,17.5
301,international organized crime,appeal hacker vigilante,VickreyMhl,17.5
301,international organized crime,international state crime,VickreyMhl,17.5
301,international organized crime,astrum organized ``,VickreyMhl,17.5
301,international organized crime,style organized crime,VickreyMhl,17.5
301,international organized crime,cancellation dave guarantees,VickreyMhl,17.5
301,international organized crime,in focusing crime,VickreyMhl,17.5
301,international organized crime,airport organize intent,VickreyMhl,17.5
301,international organized crime,joint organized membership,VickreyMhl,17.5
301,international organized crime,at organised deconstruct,VickreyMhl,17.5
301,international organized crime,international organized fbi,VickreyMhl,17.5
301,international organized crime,a disunited crime,VickreyMhl,17.5
301,international organized crime,uk organized crime,VickreyMhl,17.5
301,international organized crime,body anchored goldstone,VickreyMhl,17.5
301,international organized crime,international well crime,VickreyMhl,17.5
301,international organized crime,warned holland criminal,VickreyMhl,17.5
301,international organized crime,world-renowned intimidated crimes,VickreyMhl,17.5
301,international organized crime,international 20h45 crime,VickreyMhl,17.5
301,international organized crime,greenhouse interested investigative,VickreyMhl,17.5
301,international organized crime,lettsome sunada criminal,VickreyMhl,17.5
301,international organized crime,global organized arrest,VickreyMhl,17.5
301,international organized crime,attracting brooklyn sturmgeschütz,VickreyMhl,17.5
301,international organized crime,international organized across,VickreyMhl,17.5
301,international organized crime,international organized that,VickreyMhl,17.5
301,international organized crime,allow exhaustively crime,VickreyMhl,17.5
301,international organized crime,angastiniotis giganto neglected,VickreyMhl,17.5
301,international organized crime,tiph giolito with,VickreyMhl,17.5
301,international organized crime,exchange worldgroup slicker,VickreyMhl,17.5
301,international organized crime,international be one,VickreyMhl,17.5
301,international organized crime,track organized crime,VickreyMhl,17.5
301,international organized crime,world our crime,VickreyMhl,17.5
301,international organized crime,international reformed fabletown,VickreyMhl,17.5
301,international organized crime,international bicentennial crime,VickreyMhl,17.5
301,international organized crime,multi discussions service,VickreyMhl,17.5
301,international organized crime,international organized enforcement,VickreyMhl,17.5
301,international organized crime,international volunteers drug-related,VickreyMhl,17.5
301,international organized crime,community most governments,VickreyMhl,17.5
301,international organized crime,world single trafficking,VickreyMhl,17.5
301,international organized crime,international organized implications,VickreyMhl,17.5
301,international organized crime,limited organized prevention,VickreyMhl,17.5
302,poliomyelitis and post-polio,tyrannic 125 vices,VickreyMhl,17.5
302,poliomyelitis and post-polio,poliomyelitis and platel,VickreyMhl,17.5
302,poliomyelitis and post-polio,bouzaiene and rehydrating,VickreyMhl,17.5
302,poliomyelitis and post-polio,15-man stormarn aelred,VickreyMhl,17.5
302,poliomyelitis and post-polio,infantile town zucula,VickreyMhl,17.5
302,poliomyelitis and post-polio,blinded about 72.84,VickreyMhl,17.5
302,poliomyelitis and post-polio,shaywitz time post-polio,VickreyMhl,17.5
302,poliomyelitis and post-polio,asbestos-related resolve twic.html,VickreyMhl,17.5
302,poliomyelitis and post-polio,blunk angelo .0304,VickreyMhl,17.5
302,poliomyelitis and post-polio,douwe narcotics inter-allied,VickreyMhl,17.5
302,poliomyelitis and post-polio,mayanist 13.30 post-polio,VickreyMhl,17.5
302,poliomyelitis and post-polio,"poliomyelitis , brimley",VickreyMhl,17.5
302,poliomyelitis and post-polio,portholes as post-polio,VickreyMhl,17.5
302,poliomyelitis and post-polio,whirling rcn krietor,VickreyMhl,17.5
302,poliomyelitis and post-polio,kikwit both karlovich,VickreyMhl,17.5
302,poliomyelitis and post-polio,clusters up ssa,VickreyMhl,17.5
302,poliomyelitis and post-polio,besoes ed undertaken,VickreyMhl,17.5
302,poliomyelitis and post-polio,constellation offered neuromarketing,VickreyMhl,17.5
302,poliomyelitis and post-polio,sockburn argentinean swarzędz,VickreyMhl,17.5
302,poliomyelitis and post-polio,battle-ready realizations post-polio,VickreyMhl,17.5
302,poliomyelitis and post-polio,ludhiana again pontificated,VickreyMhl,17.5
302,poliomyelitis and post-polio,quadrevion cherries 49-30,VickreyMhl,17.5
302,poliomyelitis and post-polio,contracted combining embraced,VickreyMhl,17.5
302,poliomyelitis and post-polio,feca fuel 177.2,VickreyMhl,17.5
302,poliomyelitis and post-polio,al-haqq and shoreham-by-sea,VickreyMhl,17.5
302,poliomyelitis and post-polio,"product also 746,000",VickreyMhl,17.5
302,poliomyelitis and post-polio,mascola acknowledges bashirli,VickreyMhl,17.5
302,poliomyelitis and post-polio,pattern olavarría lilybaeum,VickreyMhl,17.5
302,poliomyelitis and post-polio,komol army overpower,VickreyMhl,17.5
302,poliomyelitis and post-polio,puffleg and dagli,VickreyMhl,17.5
302,poliomyelitis and post-polio,poliomyelitis and behshahr,VickreyMhl,17.5
302,poliomyelitis and post-polio,poliomyelitis ossia stoitchkov,VickreyMhl,17.5
302,poliomyelitis and post-polio,shrirampur ergodicity gatow,VickreyMhl,17.5
302,poliomyelitis and post-polio,shahrbaraz and reinsured,VickreyMhl,17.5
302,poliomyelitis and post-polio,popularization ... romanée-conti,VickreyMhl,17.5
302,poliomyelitis and post-polio,1238 hizen wic,VickreyMhl,17.5
302,poliomyelitis and post-polio,atyrau seabeds telephone,VickreyMhl,17.5
302,poliomyelitis and post-polio,communism whilst reszke,VickreyMhl,17.5
302,poliomyelitis and post-polio,may and post-polio,VickreyMhl,17.5
302,poliomyelitis and post-polio,pinetops legislation post-polio,VickreyMhl,17.5
302,poliomyelitis and post-polio,evariste and jpegs,VickreyMhl,17.5
302,poliomyelitis and post-polio,panganiban hall æthelwig,VickreyMhl,17.5
302,poliomyelitis and post-polio,measles rodriguez complained,VickreyMhl,17.5
302,poliomyelitis and post-polio,"1,314 justice .26",VickreyMhl,17.5
302,poliomyelitis and post-polio,poliomyelitis include post-polio,VickreyMhl,17.5
302,poliomyelitis and post-polio,poliomyelitis in tragedies,VickreyMhl,17.5
302,poliomyelitis and post-polio,poliomyelitis divided 34-38,VickreyMhl,17.5
302,poliomyelitis and post-polio,aruri lassie dotc,VickreyMhl,17.5
302,poliomyelitis and post-polio,"2,100,000 revealed lucerna",VickreyMhl,17.5
302,poliomyelitis and post-polio,poliomyelitis generation post-polio,VickreyMhl,17.5
303,hubble telescope achievements,fix telescope accomplishments,VickreyMhl,17.5
303,hubble telescope achievements,hubble telescope highlight,VickreyMhl,17.5
303,hubble telescope achievements,telescope warplanes yao,VickreyMhl,17.5
