id,text,obfuscatedText,mechanism,epsilon
301,international organized crime,organizations organized murders,WBB,25
301,international organized crime,countries organized gang,WBB,25
301,international organized crime,national organized homicide,WBB,25
301,international organized crime,worldwide organized corruption,WBB,25
301,international organized crime,organisation organized criminals,WBB,25
301,international organized crime,countries organized trafficking,WBB,25
301,international organized crime,well organized gang,WBB,25
301,international organized crime,countries organized robbery,WBB,25
301,international organized crime,countries organized corruption,WBB,25
301,international organized crime,organisation organized violent,WBB,25
301,international organized crime,organizations organized murders,WBB,25
301,international organized crime,cooperation organized trafficking,WBB,25
301,international organized crime,organization organized violent,WBB,25
301,international organized crime,based organized enforcement,WBB,25
301,international organized crime,efforts organized criminals,WBB,25
301,international organized crime,european organized enforcement,WBB,25
301,international organized crime,well organized violent,WBB,25
301,international organized crime,european organized violence,WBB,25
301,international organized crime,european organized homicide,WBB,25
301,international organized crime,organizations organized criminals,WBB,25
301,international organized crime,based organized violent,WBB,25
301,international organized crime,based organized corruption,WBB,25
301,international organized crime,well organized violent,WBB,25
301,international organized crime,cooperation organized corruption,WBB,25
301,international organized crime,united organized terrorism,WBB,25
301,international organized crime,organizations organized trafficking,WBB,25
301,international organized crime,national organized enforcement,WBB,25
301,international organized crime,european organized murders,WBB,25
301,international organized crime,countries organized killings,WBB,25
301,international organized crime,airport organized gangs,WBB,25
301,international organized crime,based organized killings,WBB,25
301,international organized crime,based organized murders,WBB,25
301,international organized crime,organization organized criminals,WBB,25
301,international organized crime,based organized hate,WBB,25
301,international organized crime,established organized hate,WBB,25
301,international organized crime,organisation organized gang,WBB,25
301,international organized crime,organisation organized trafficking,WBB,25
301,international organized crime,airport organized terrorism,WBB,25
301,international organized crime,national organized gangs,WBB,25
301,international organized crime,european organized terrorism,WBB,25
301,international organized crime,united organized corruption,WBB,25
301,international organized crime,worldwide organized violent,WBB,25
301,international organized crime,based organized homicide,WBB,25
301,international organized crime,airport organized killings,WBB,25
301,international organized crime,organizations organized trafficking,WBB,25
301,international organized crime,worldwide organized criminals,WBB,25
301,international organized crime,organization organized violent,WBB,25
301,international organized crime,worldwide organized gang,WBB,25
301,international organized crime,established organized trafficking,WBB,25
301,international organized crime,competition organized terrorism,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
302,poliomyelitis and post-polio,poliomyelitis and post-polio,WBB,25
303,hubble telescope achievements,endeavour observatories technological,WBB,25
303,hubble telescope achievements,observations optical innovations,WBB,25
303,hubble telescope achievements,astronomers observatories contribution,WBB,25
303,hubble telescope achievements,astronauts astronomy importance,WBB,25
303,hubble telescope achievements,astronauts astronomers remarkable,WBB,25
303,hubble telescope achievements,spacecraft optics noteworthy,WBB,25
303,hubble telescope achievements,spectrograph observatories noteworthy,WBB,25
303,hubble telescope achievements,orbiting infrared accomplishment,WBB,25
303,hubble telescope achievements,space binoculars accomplishment,WBB,25
303,hubble telescope achievements,space observatories greatest,WBB,25
303,hubble telescope achievements,orbit spacecraft achieved,WBB,25
303,hubble telescope achievements,orbiting keck accomplishment,WBB,25
303,hubble telescope achievements,cassini observatories notable,WBB,25
303,hubble telescope achievements,observations observatories innovations,WBB,25
303,hubble telescope achievements,galaxies spacecraft achieved,WBB,25
303,hubble telescope achievements,astronauts spectrograph contributions,WBB,25
303,hubble telescope achievements,space infrared contribution,WBB,25
303,hubble telescope achievements,endeavour infrared remarkable,WBB,25
303,hubble telescope achievements,spacecraft nasa endeavors,WBB,25
303,hubble telescope achievements,atlantis keck outstanding,WBB,25
303,hubble telescope achievements,shuttle nasa contribution,WBB,25
303,hubble telescope achievements,observations refracting noteworthy,WBB,25
303,hubble telescope achievements,astronomers orbiting noteworthy,WBB,25
303,hubble telescope achievements,endeavour astronomical progress,WBB,25
303,hubble telescope achievements,galaxies optics remarkable,WBB,25
303,hubble telescope achievements,astronauts nasa outstanding,WBB,25
303,hubble telescope achievements,endeavour astronomers endeavors,WBB,25
303,hubble telescope achievements,spacewalk infrared greatest,WBB,25
303,hubble telescope achievements,astronomers observatories achieved,WBB,25
303,hubble telescope achievements,orbiting observatories outstanding,WBB,25
303,hubble telescope achievements,spacecraft infrared achieved,WBB,25
303,hubble telescope achievements,orbiting infrared technological,WBB,25
303,hubble telescope achievements,space binoculars success,WBB,25
303,hubble telescope achievements,spacecraft spacecraft greatest,WBB,25
303,hubble telescope achievements,spacewalk refracting accomplishment,WBB,25
303,hubble telescope achievements,space orbiting contribution,WBB,25
303,hubble telescope achievements,orbiting astronomers endeavors,WBB,25
303,hubble telescope achievements,endeavour spacecraft remarkable,WBB,25
303,hubble telescope achievements,atlantis optical contributions,WBB,25
303,hubble telescope achievements,astronauts orbiting innovations,WBB,25
303,hubble telescope achievements,astronomers observatories progress,WBB,25
303,hubble telescope achievements,orbiting observatories technological,WBB,25
303,hubble telescope achievements,endeavour spacecraft endeavors,WBB,25
303,hubble telescope achievements,endeavour refracting success,WBB,25
303,hubble telescope achievements,astronomers infrared accomplishment,WBB,25
303,hubble telescope achievements,astronauts observatories endeavors,WBB,25
303,hubble telescope achievements,astronomers astronomical notable,WBB,25
303,hubble telescope achievements,astronauts observatories noteworthy,WBB,25
303,hubble telescope achievements,astronomers optics progress,WBB,25
303,hubble telescope achievements,orbiting refracting innovations,WBB,25
304,endangered species (mammals),endangered birds ( animals ),WBB,25
304,endangered species (mammals),endangered insects ( birds ),WBB,25
304,endangered species (mammals),endangered endemic ( fauna ),WBB,25
304,endangered species (mammals),endangered mammal ( invertebrates ),WBB,25
304,endangered species (mammals),endangered habitat ( rodents ),WBB,25
304,endangered species (mammals),endangered habitats ( animals ),WBB,25
304,endangered species (mammals),endangered mammals ( amphibians ),WBB,25
304,endangered species (mammals),endangered habitat ( insects ),WBB,25
304,endangered species (mammals),endangered fauna ( rodents ),WBB,25
304,endangered species (mammals),endangered habitats ( rodents ),WBB,25
304,endangered species (mammals),endangered genera ( dinosaurs ),WBB,25
304,endangered species (mammals),endangered genera ( primates ),WBB,25
304,endangered species (mammals),endangered habitat ( primates ),WBB,25
304,endangered species (mammals),endangered birds ( carnivores ),WBB,25
304,endangered species (mammals),endangered birds ( invertebrates ),WBB,25
304,endangered species (mammals),endangered habitats ( fishes ),WBB,25
304,endangered species (mammals),endangered insects ( lizards ),WBB,25
304,endangered species (mammals),endangered insects ( amphibians ),WBB,25
304,endangered species (mammals),endangered specimens ( amphibians ),WBB,25
304,endangered species (mammals),endangered habitats ( birds ),WBB,25
304,endangered species (mammals),endangered populations ( amphibians ),WBB,25
304,endangered species (mammals),endangered genera ( invertebrates ),WBB,25
304,endangered species (mammals),endangered habitat ( mammalian ),WBB,25
304,endangered species (mammals),endangered genera ( amphibians ),WBB,25
304,endangered species (mammals),endangered reptiles ( carnivores ),WBB,25
304,endangered species (mammals),endangered reptiles ( amphibians ),WBB,25
304,endangered species (mammals),endangered populations ( amphibians ),WBB,25
304,endangered species (mammals),endangered endemic ( insects ),WBB,25
304,endangered species (mammals),endangered habitats ( birds ),WBB,25
304,endangered species (mammals),endangered habitat ( animals ),WBB,25
304,endangered species (mammals),endangered mammals ( humans ),WBB,25
304,endangered species (mammals),endangered mammal ( mammalian ),WBB,25
304,endangered species (mammals),endangered mammal ( fauna ),WBB,25
304,endangered species (mammals),endangered birds ( species ),WBB,25
304,endangered species (mammals),endangered reptiles ( dinosaurs ),WBB,25
304,endangered species (mammals),endangered habitats ( animals ),WBB,25
304,endangered species (mammals),endangered habitat ( amphibians ),WBB,25
304,endangered species (mammals),endangered mammals ( species ),WBB,25
304,endangered species (mammals),endangered birds ( species ),WBB,25
304,endangered species (mammals),endangered endemic ( birds ),WBB,25
304,endangered species (mammals),endangered habitats ( fishes ),WBB,25
304,endangered species (mammals),endangered genera ( species ),WBB,25
304,endangered species (mammals),endangered amphibians ( rodents ),WBB,25
304,endangered species (mammals),endangered specimens ( mammalian ),WBB,25
304,endangered species (mammals),endangered genera ( species ),WBB,25
304,endangered species (mammals),endangered birds ( fauna ),WBB,25
304,endangered species (mammals),endangered genera ( animals ),WBB,25
304,endangered species (mammals),endangered endemic ( carnivores ),WBB,25
304,endangered species (mammals),endangered habitat ( animals ),WBB,25
304,endangered species (mammals),endangered habitat ( lizards ),WBB,25
305,most dangerous vehicles,most danger suvs,WBB,25
305,most dangerous vehicles,most dangerously motorcycles,WBB,25
305,most dangerous vehicles,most dangerously armored,WBB,25
305,most dangerous vehicles,most deemed motorcycles,WBB,25
305,most dangerous vehicles,most deemed humvees,WBB,25
305,most dangerous vehicles,most violent suvs,WBB,25
305,most dangerous vehicles,most treacherous jeeps,WBB,25
305,most dangerous vehicles,most destructive tanks,WBB,25
305,most dangerous vehicles,most perilous parked,WBB,25
305,most dangerous vehicles,most unpredictable motorcycles,WBB,25
305,most dangerous vehicles,most dangerously buses,WBB,25
305,most dangerous vehicles,most unsafe humvees,WBB,25
305,most dangerous vehicles,most considered jeeps,WBB,25
305,most dangerous vehicles,most unstable jeep,WBB,25
305,most dangerous vehicles,most considered automobiles,WBB,25
305,most dangerous vehicles,most unpredictable suvs,WBB,25
305,most dangerous vehicles,most harmful vans,WBB,25
305,most dangerous vehicles,most perilous jeeps,WBB,25
305,most dangerous vehicles,most difficult armoured,WBB,25
305,most dangerous vehicles,most treacherous suv,WBB,25
305,most dangerous vehicles,most danger buses,WBB,25
305,most dangerous vehicles,most risky jeeps,WBB,25
305,most dangerous vehicles,most risky jeep,WBB,25
305,most dangerous vehicles,most unpredictable suv,WBB,25
305,most dangerous vehicles,most deemed tanks,WBB,25
305,most dangerous vehicles,most harmful automobiles,WBB,25
305,most dangerous vehicles,most difficult buses,WBB,25
305,most dangerous vehicles,most danger buses,WBB,25
305,most dangerous vehicles,most risky vans,WBB,25
305,most dangerous vehicles,most treacherous motorcycles,WBB,25
305,most dangerous vehicles,most unpredictable suvs,WBB,25
305,most dangerous vehicles,most unsafe jeeps,WBB,25
305,most dangerous vehicles,most dangerously automobiles,WBB,25
305,most dangerous vehicles,most destructive vans,WBB,25
305,most dangerous vehicles,most deadly suv,WBB,25
305,most dangerous vehicles,most deemed vans,WBB,25
305,most dangerous vehicles,most violent car,WBB,25
305,most dangerous vehicles,most unpredictable truck,WBB,25
305,most dangerous vehicles,most destructive suvs,WBB,25
305,most dangerous vehicles,most unpredictable armoured,WBB,25
305,most dangerous vehicles,most destructive jeep,WBB,25
305,most dangerous vehicles,most violent car,WBB,25
305,most dangerous vehicles,most deemed suvs,WBB,25
305,most dangerous vehicles,most perilous humvees,WBB,25
305,most dangerous vehicles,most perilous jeeps,WBB,25
305,most dangerous vehicles,most unstable vans,WBB,25
305,most dangerous vehicles,most violent car,WBB,25
305,most dangerous vehicles,most perilous armored,WBB,25
305,most dangerous vehicles,most unpredictable truck,WBB,25
305,most dangerous vehicles,most harmful truck,WBB,25
306,african civilian deaths,nigeria afghan toll,WBB,25
306,african civilian deaths,mbeki afghan fatal,WBB,25
306,african civilian deaths,nigeria casualties toll,WBB,25
306,african civilian deaths,nigerian army suicides,WBB,25
306,african civilian deaths,thabo soldiers suicides,WBB,25
306,african civilian deaths,saharan officers dead,WBB,25
306,african civilian deaths,black troops dead,WBB,25
306,african civilian deaths,thabo afghan killed,WBB,25
306,african civilian deaths,zimbabwean casualties toll,WBB,25
306,african civilian deaths,mbeki troops incidents,WBB,25
306,african civilian deaths,continent commanders died,WBB,25
306,african civilian deaths,sadc army incidents,WBB,25
306,african civilian deaths,nigeria afghan killed,WBB,25
306,african civilian deaths,continent force casualties,WBB,25
306,african civilian deaths,nigerian forces killed,WBB,25
306,african civilian deaths,sadc forces fatal,WBB,25
306,african civilian deaths,black unarmed cases,WBB,25
306,african civilian deaths,continent army incidents,WBB,25
306,african civilian deaths,thabo troops fatality,WBB,25
306,african civilian deaths,mbeki iraqi suicides,WBB,25
306,african civilian deaths,zimbabwe afghan shootings,WBB,25
306,african civilian deaths,nigeria soldiers victims,WBB,25
306,african civilian deaths,zimbabwe afghan died,WBB,25
306,african civilian deaths,mbeki iraqi suicides,WBB,25
306,african civilian deaths,nigerian civil killings,WBB,25
306,african civilian deaths,nations soldiers fatality,WBB,25
306,african civilian deaths,kenya army killings,WBB,25
306,african civilian deaths,nation troops toll,WBB,25
306,african civilian deaths,mbeki casualties shootings,WBB,25
306,african civilian deaths,continent contractors dead,WBB,25
306,african civilian deaths,mbeki officers killed,WBB,25
306,african civilian deaths,mbeki casualties killed,WBB,25
306,african civilian deaths,continent casualties victims,WBB,25
306,african civilian deaths,nigerian iraqis casualties,WBB,25
306,african civilian deaths,asian commanders killings,WBB,25
306,african civilian deaths,nigerian afghan casualties,WBB,25
306,african civilian deaths,continent government dead,WBB,25
306,african civilian deaths,thabo afghan fatality,WBB,25
306,african civilian deaths,saharan officers toll,WBB,25
306,african civilian deaths,black iraqi dead,WBB,25
